"dateEndOfInteraction","dateStartOfInteraction","endOfInteraction","startOfInteraction","subjectID","ID"
"27/03/2024","27/03/2024","17:53:31","17:52:34","AM29",""
"27/03/2024","27/03/2024","18:08:50","17:53:34","AM29",""
"27/03/2024","27/03/2024","18:12:48","18:09:02","AM29",""
"27/03/2024","27/03/2024","18:24:58","18:16:09","AM29",""
"27/03/2024","27/03/2024","18:28:51","18:25:01","AM29",""
"27/03/2024","27/03/2024","18:30:36","18:28:54","AM29",""
"27/03/2024","27/03/2024","18:33:07","18:32:42","AM29",""
"27/03/2024","27/03/2024","18:34:37","18:33:09","AM29",""
"27/03/2024","27/03/2024","18:40:09","18:39:47","AM29",""
"27/03/2024","27/03/2024","18:47:21","18:40:22","AM29",""
"27/03/2024","27/03/2024","18:47:43","18:47:24","AM29",""
"27/03/2024","27/03/2024","18:53:02","18:47:46","AM29",""
"27/03/2024","27/03/2024","19:08:30","18:59:56","AM29",""
"27/03/2024","27/03/2024","20:17:01","19:09:44","AM29",""
"27/03/2024","27/03/2024","20:52:39","20:21:40","AM29",""
"27/03/2024","27/03/2024","21:34:07","20:52:51","AM29",""
"27/03/2024","27/03/2024","21:57:09","21:34:09","AM29",""
"27/03/2024","27/03/2024","21:59:34","21:57:17","AM29",""
"27/03/2024","27/03/2024","22:01:02","21:59:37","AM29",""
"27/03/2024","27/03/2024","22:06:35","22:01:06","AM29",""
"27/03/2024","27/03/2024","22:14:22","22:06:39","AM29",""
"27/03/2024","27/03/2024","22:15:28","22:14:25","AM29",""
"27/03/2024","27/03/2024","22:16:24","22:15:38","AM29",""
"27/03/2024","27/03/2024","22:20:58","22:19:34","AM29",""
"27/03/2024","27/03/2024","22:24:46","22:22:19","AM29",""
"27/03/2024","27/03/2024","22:27:37","22:24:47","AM29",""
"27/03/2024","27/03/2024","22:34:32","22:29:57","AM29",""
"27/03/2024","27/03/2024","22:40:16","22:35:18","AM29",""
"27/03/2024","27/03/2024","22:45:24","22:43:39","AM29",""
"27/03/2024","27/03/2024","23:02:22","22:59:57","AM29",""
"28/03/2024","28/03/2024","18:27:25","18:24:04","AM29",""
"28/03/2024","28/03/2024","18:54:23","18:50:47","AM29",""
"28/03/2024","28/03/2024","18:55:41","18:54:38","AM29",""
"28/03/2024","28/03/2024","18:56:14","18:55:45","AM29",""
"28/03/2024","28/03/2024","18:58:27","18:56:18","AM29",""
"28/03/2024","28/03/2024","19:01:36","18:58:33","AM29",""
"28/03/2024","28/03/2024","19:05:29","19:02:15","AM29",""
"28/03/2024","28/03/2024","19:08:28","19:05:57","AM29",""
"28/03/2024","28/03/2024","19:11:57","19:08:32","AM29",""
"28/03/2024","28/03/2024","19:51:11","19:48:27","AM29",""
"28/03/2024","28/03/2024","19:56:10","19:54:30","AM29",""
"28/03/2024","28/03/2024","19:58:46","19:56:26","AM29",""
"28/03/2024","28/03/2024","20:02:08","19:58:49","AM29",""
"28/03/2024","28/03/2024","20:13:34","20:10:51","AM29",""
"28/03/2024","28/03/2024","20:16:09","20:15:28","AM29",""
"28/03/2024","28/03/2024","20:32:44","20:16:28","AM29",""
"28/03/2024","28/03/2024","20:36:08","20:32:54","AM29",""
"28/03/2024","28/03/2024","21:29:12","20:36:14","AM29",""
"28/03/2024","28/03/2024","23:39:28","23:34:12","AM29",""
"28/03/2024","28/03/2024","23:43:10","23:41:22","AM29",""
"28/03/2024","28/03/2024","23:49:50","23:48:13","AM29",""
"28/03/2024","28/03/2024","23:50:34","23:50:08","AM29",""
"28/03/2024","28/03/2024","23:51:30","23:50:35","AM29",""
"29/03/2024","29/03/2024","08:29:18","08:28:26","AM29",""
"29/03/2024","29/03/2024","08:30:25","08:30:02","AM29",""
"29/03/2024","29/03/2024","08:31:43","08:31:15","AM29",""
"29/03/2024","29/03/2024","08:41:30","08:32:33","AM29",""
"29/03/2024","29/03/2024","09:16:08","09:15:22","AM29",""
"29/03/2024","29/03/2024","09:24:08","09:22:42","AM29",""
"29/03/2024","29/03/2024","09:33:41","09:24:11","AM29",""
"29/03/2024","29/03/2024","09:50:02","09:35:06","AM29",""
"29/03/2024","29/03/2024","10:07:04","09:59:51","AM29",""
"29/03/2024","29/03/2024","10:39:00","10:29:08","AM29",""
"29/03/2024","29/03/2024","10:39:27","10:39:03","AM29",""
"29/03/2024","29/03/2024","13:52:29","10:39:36","AM29",""
"29/03/2024","29/03/2024","14:28:17","13:52:31","AM29",""
"29/03/2024","29/03/2024","14:42:22","14:38:04","AM29",""
"29/03/2024","29/03/2024","14:44:29","14:43:39","AM29",""
"29/03/2024","29/03/2024","14:46:31","14:44:33","AM29",""
"29/03/2024","29/03/2024","14:46:54","14:46:35","AM29",""
"29/03/2024","29/03/2024","14:49:17","14:46:57","AM29",""
"29/03/2024","29/03/2024","21:16:30","21:15:05","AM29",""
"29/03/2024","29/03/2024","21:30:33","21:26:57","AM29",""
"29/03/2024","29/03/2024","21:58:30","21:46:41","AM29",""
"29/03/2024","29/03/2024","22:05:09","21:58:50","AM29",""
"29/03/2024","29/03/2024","22:09:58","22:06:13","AM29",""
"29/03/2024","29/03/2024","22:13:07","22:10:40","AM29",""
"29/03/2024","29/03/2024","22:14:36","22:13:33","AM29",""
"29/03/2024","29/03/2024","22:17:10","22:15:45","AM29",""
"29/03/2024","29/03/2024","22:18:51","22:18:22","AM29",""
"29/03/2024","29/03/2024","22:20:09","22:19:20","AM29",""
"29/03/2024","29/03/2024","22:22:11","22:20:47","AM29",""
"29/03/2024","29/03/2024","22:34:12","22:22:26","AM29",""
"29/03/2024","29/03/2024","22:35:19","22:34:29","AM29",""
"29/03/2024","29/03/2024","22:37:54","22:35:20","AM29",""
"29/03/2024","29/03/2024","22:39:01","22:37:57","AM29",""
"29/03/2024","29/03/2024","22:42:43","22:39:46","AM29",""
"29/03/2024","29/03/2024","22:45:07","22:43:45","AM29",""
"29/03/2024","29/03/2024","22:46:36","22:46:09","AM29",""
"29/03/2024","29/03/2024","23:03:37","22:46:39","AM29",""
"29/03/2024","29/03/2024","23:04:55","23:03:47","AM29",""
"30/03/2024","30/03/2024","07:11:12","07:01:21","AM29",""
"30/03/2024","30/03/2024","11:51:04","11:27:16","AM29",""
"30/03/2024","30/03/2024","12:01:44","11:57:48","AM29",""
"30/03/2024","30/03/2024","12:04:08","12:01:58","AM29",""
"30/03/2024","30/03/2024","12:11:03","12:04:16","AM29",""
"30/03/2024","30/03/2024","12:25:23","12:11:14","AM29",""
"30/03/2024","30/03/2024","12:28:15","12:25:30","AM29",""
"30/03/2024","30/03/2024","12:36:23","12:28:17","AM29",""
"30/03/2024","30/03/2024","12:39:28","12:36:34","AM29",""
"30/03/2024","30/03/2024","12:49:24","12:39:44","AM29",""
"30/03/2024","30/03/2024","12:51:07","12:49:34","AM29",""
"30/03/2024","30/03/2024","12:54:55","12:53:55","AM29",""
"30/03/2024","30/03/2024","13:02:06","12:55:10","AM29",""
"30/03/2024","30/03/2024","15:10:41","15:06:15","AM29",""
"30/03/2024","30/03/2024","15:19:18","15:17:37","AM29",""
"30/03/2024","30/03/2024","15:23:23","15:21:59","AM29",""
"30/03/2024","30/03/2024","15:36:20","15:24:01","AM29",""
"30/03/2024","30/03/2024","15:41:00","15:36:59","AM29",""
"30/03/2024","30/03/2024","15:41:35","15:41:14","AM29",""
"30/03/2024","30/03/2024","15:51:09","15:44:45","AM29",""
"30/03/2024","30/03/2024","15:51:27","15:51:14","AM29",""
"30/03/2024","30/03/2024","16:02:46","15:53:29","AM29",""
"30/03/2024","30/03/2024","16:04:18","16:03:05","AM29",""
"30/03/2024","30/03/2024","16:15:47","16:04:31","AM29",""
"30/03/2024","30/03/2024","16:21:27","16:19:17","AM29",""
"30/03/2024","30/03/2024","16:28:33","16:27:17","AM29",""
"30/03/2024","30/03/2024","16:31:22","16:28:51","AM29",""
"30/03/2024","30/03/2024","16:33:11","16:32:12","AM29",""
