"Study End","Study Start","Subject ID","Switched Study Mode"
"10/04/2024","27/03/2024","AM29","03/04/2024"
"10/04/2024","27/03/2024","CE17","03/04/2024"
"09/04/2024","26/03/2024","Ei31","02/04/2024"
"08/04/2024","25/03/2024","HJ42","01/04/2024"
"22/04/2024","08/04/2024","HO30","15/04/2024"
"22/04/2024","08/04/2024","LJ16","15/04/2024"
"09/04/2024","26/03/2024","MN03","02/04/2024"
"22/04/2024","08/04/2024","MV18","15/04/2024"
"22/04/2024","08/04/2024","Mu06","15/04/2024"
"02/04/2024","19/03/2024","SS83","26/03/2024"
"02/04/2024","19/03/2024","Ss26","26/03/2024"
"29/04/2024","15/04/2024","ej15","22/04/2024"
"08/04/2024","25/03/2024","hp21","01/04/2024"
"26/04/2024","12/04/2024","mm01","19/04/2024"
"26/04/2024","12/04/2024","mm02","19/04/2024"
"01/05/2024","17/04/2024","mt28","24/04/2024"
"01/04/2024","20/03/2024","nf29","25/03/2024"
"01/05/2024","17/04/2024","rr16","24/04/2024"
"29/04/2024","15/04/2024","sm07","22/04/2024"
"01/04/2024","18/03/2024","uj20","25/03/2024"
