"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","G00001","G00002","G00003","RSHCI01[RSHCI1]","RSHCI01[RSHCI2]","RSHCI01[RSHCI3]","RSHCI01[RSHCI4]","RSHCI01[RSHCI5]","AC01[AC1]","RSHCI02[RSHCI6]","RSHCI02[RSHCI7]","RSHCI02[RSHCI8]","RSHCI02[RSHCI9]","AC02[AC2]","RSHCI03[RSHCI10]","RSHCI03[RSHCI11]","RSHCI03[RSHCI12]","RSHCI03[RSHCI13]","PCI[PCI1]","PCI[PCI2]","PCI[PCI3]","PCI[PCI4]","PCI[PCI5]","PCI[PCI6]","AC03[AC3]","PDSO01[PDSO1]","PDSO01[PDSO2]","PDSO01[PDSO3]","PDSO02[PDSO4]","PDSO02[PDSO5]","PDSO02[PDSO6]","PS[PS1]","PS[PS2]","PS[PS3]","PS[PS4]","PS[PS5]","PS[PS6]","PS[PS7]","PS[PS8]","PS[PS9]","PS[PS10]","IOS","CSI"
"35","2024-03-18 21:10:04","5","en","531390289","2024-03-18 21:01:48","2024-03-18 21:10:03","uj20","A","uj20 1710795270700","4","5","3","4","4","","3","3","3","2","1","3","2","2","2","7","1","7","7","7","5","","1","7","2","6","2","2","3","2","1","2","2","4","2","3","2","1","7","Game night "
"37","2024-03-19 06:38:18","5","en","1526551767","2024-03-19 06:35:04","2024-03-19 06:38:18","uj20","A","uj20 1710826645878","5","5","4","5","5","","2","1","1","1","","1","1","1","2","7","7","6","6","6","4","","1","7","1","7","2","2","1","1","1","2","4","4","3","3","2","1","7","Breakfast "
"38","2024-03-19 16:43:32","5","en","829593061","2024-03-19 16:29:20","2024-03-19 16:43:32","SS83","B","SS83 1710863791301","4","4","3","4","3","","2","2","2","2","","3","2","2","2","6","5","6","6","6","4","","4","5","5","6","2","2","4","3","3","4","3","4","4","3","2","1","5","Time to speak "
"39","2024-03-19 18:46:35","5","en","1929677811","2024-03-19 18:33:51","2024-03-19 18:46:35","Ss26","B","Ss26 1710863629412","4","3","4","4","4","4","2","1","2","1","","1","1","2","2","6","5","6","6","6","4","","2","6","3","6","2","2","3","2","2","2","2","3","4","2","3","3","5","Lunch together "
"41","2024-03-22 07:26:49","5","en","2024053907","2024-03-22 07:18:42","2024-03-22 07:26:49","SS83","","SS83 1711063901945","4","4","3","4","4","","4","2","2","2","","2","2","2","3","6","2","6","6","6","3","","2","6","2","6","2","2","4","3","2","4","4","4","4","3","2","2","6","Party"
"43","2024-03-24 10:00:25","5","en","1104722102","2024-03-24 09:53:35","2024-03-24 10:00:25","SS83","B","SS83 1711272696599","5","5","4","5","4","","4","2","4","2","","3","2","2","3","6","3","6","4","6","4","","3","6","3","6","3","3","4","4","2","3","3","4","4","3","2","2","2","Short meeting "
"44","2024-03-25 19:13:45","5","en","475138299","2024-03-25 19:05:52","2024-03-25 19:13:45","hp21","A","hp21 1711393200984","3","3","4","2","4","","1","2","3","4","","3","3","3","3","6","3","5","6","5","6","","5","4","4","5","5","3","3","2","1","2","3","3","4","3","2","3","6","Dinner and watching series "
"45","2024-03-26 08:30:19","5","en","1827183836","2024-03-26 08:26:39","2024-03-26 08:30:19","uj20","B","uj20 1711434134420","5","5","4","4","4","","2","1","2","1","","1","1","1","1","7","1","7","6","7","6","","2","6","2","6","2","2","2","2","2","2","3","3","3","2","2","1","7","Movie night"
"46","2024-03-26 18:36:48","5","en","1083023113","2024-03-26 18:22:32","2024-03-26 18:36:48","HJ42","A","HJ42 1711396694554","3","4","4","4","4","","2","2","2","2","","2","1","2","2","6","4","6","6","6","5","A3","3","6","4","5","5","3","3","2","2","2","2","3","3","3","2","2","5","dinner together "
"47","2024-03-27 17:51:14","5","en","1928777200","2024-03-27 17:40:03","2024-03-27 17:51:14","AM29","A","AM29 1711560877851","2","4","4","5","5","","1","1","1","1","","1","1","1","2","7","2","6","6","6","2","","6","2","6","6","6","6","1","1","1","1","4","4","2","1","4","2","7","Coffee and Tee"
"48","2024-03-27 17:54:44","5","en","595070983","2024-03-27 17:40:13","2024-03-27 17:54:44","CE17","A","CE17 1711560658664","4","4","4","4","4","2","2","2","2","2","","3","2","3","3","6","2","5","6","6","2","","2","6","2","2","2","6","3","2","2","2","4","4","4","4","3","3","5","Coffee"
"49","2024-03-28 05:49:33","5","en","1704929284","2024-03-28 05:43:17","2024-03-28 05:49:33","AM29","A","AM29 1711576943006","5","5","5","5","5","","2","2","2","2","1","2","2","2","2","6","2","6","6","6","2","","2","6","2","6","2","6","1","1","1","1","4","4","2","1","4","1","7","Coffee and tea "
"51","2024-03-28 18:59:20","5","en","1378572276","2024-03-28 18:54:36","2024-03-28 18:59:20","AM29","A","AM29 1711649517880","5","5","5","5","5","","2","2","2","1","","2","2","2","2","6","2","6","6","6","6","","2","6","2","6","2","2","1","1","1","1","4","4","2","1","4","2","7","Dinner"
"52","2024-03-28 19:24:45","5","en","1803886030","2024-03-28 19:19:24","2024-03-28 19:24:45","CE17","","CE17 1711652549344","4","4","4","4","4","1","2","2","2","2","","3","2","2","3","6","2","6","6","6","5","","2","6","2","2","2","6","3","2","2","2","4","4","4","4","3","2","6","Dinner"
"53","2024-03-28 20:59:46","5","en","1103447796","2024-03-28 20:55:01","2024-03-28 20:59:46","CE17","A","CE17 1711657687084","4","4","4","4","4","","2","2","2","2","2","2","2","2","3","6","2","6","6","6","6","A6","2","6","2","3","2","6","2","2","2","2","4","4","4","4","2","2","6","Dinner"
"55","2024-03-29 15:13:07","5","en","1509703895","2024-03-29 15:09:47","2024-03-29 15:13:07","CE17","A","CE17 1711720074318","4","4","4","4","4","","2","2","2","2","","3","3","3","3","6","2","6","6","6","6","","2","6","2","1","2","6","2","2","2","2","4","4","4","4","2","2","6","Breakfast"
